,Cleaned_Text,vader,compound,Vader_Sentiment_Type
35,what is an ally i thought allies had their own spot in the rainbow flag which would mean most of the rainbow is also straight if you count allies,"{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.2263}",0.2263,POSITIVE
36,this virus is not it is specifically in the community,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
37,a gifted child caught too many and social religious bigotry,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
38,hopefully the force is over this complete waste of police time and watch army veteran for posting on via,"{'neg': 0.193, 'neu': 0.719, 'pos': 0.088, 'compound': -0.4939}",-0.4939,NEGATIVE
39,i do not know anything about that community do not rope me in with them,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",-0.1027,NEGATIVE
40,the are the equivalent of autism for the community an that the vast majority of those they claim to help dislike spread dangerous about the people they claim to help and barely have anyone from the they are for working for them,"{'neg': 0.149, 'neu': 0.756, 'pos': 0.095, 'compound': -0.4767}",-0.4767,NEGATIVE
41,plus people often and their time and for ungrateful like you you are unworthy,"{'neg': 0.245, 'neu': 0.653, 'pos': 0.102, 'compound': -0.5423}",-0.5423,NEGATIVE
42,he is against a bill that is forcing people to study secular and against the will of their - that does not translate into him being against secular,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.4019}",0.4019,POSITIVE
43,red velvet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
44,alongside all of your incredible that are too many to list i will never forget you wearing a rainbow helmet to get on the podium twice i broke into when i saw your helmet for turkey 20 that so much to me and all and f1 everywhere 3,"{'neg': 0.082, 'neu': 0.889, 'pos': 0.029, 'compound': -0.465}",-0.465,NEGATIVE
45,yes the flag a symbol for the pride in 1994 but the flag is much older,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.3716}",0.3716,POSITIVE
46,it because people are people as a scapegoat to forget that the in charge are this to spread unprecedented,"{'neg': 0.287, 'neu': 0.713, 'pos': 0.0, 'compound': -0.8338}",-0.8338,NEGATIVE
47,yet the alphabet put themselves in a position of speaking for all people all progressive have actually,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
48,still over at,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}",0.2023,POSITIVE
49,you are completely in this idea of the good old days where a woman ’ s place was the home cleaning making plus people were not to exist everyone knew their place no thanks i will take diversity inclusion every day you are a troglodyte 1 2,"{'neg': 0.047, 'neu': 0.897, 'pos': 0.057, 'compound': 0.1265}",0.1265,POSITIVE
50,it is sad to see the community embrace while support i would have thought the gay community would be standing with their community in rather than 😢,"{'neg': 0.154, 'neu': 0.721, 'pos': 0.124, 'compound': -0.296}",-0.296,NEGATIVE
51,the center will be the new of • instinct magazine,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
52,meet for love and relationship -,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}",0.6369,POSITIVE
53,if this were any other person i would agree with you but chan… is a mockery of anything and will probably send back a few the more common know about him,"{'neg': 0.074, 'neu': 0.882, 'pos': 0.044, 'compound': -0.296}",-0.296,NEGATIVE
54,support for the 🏳️‍🌈 community,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",0.4019,POSITIVE
55,you are not part of any community do not know what you represent maybe i suspect,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}",-0.296,NEGATIVE
56,are not only,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
57,is a protector of the ageless from clay by murder s mother to be her companion no one just how tied the of the are to their,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.5106}",-0.5106,NEGATIVE
58,i am sure is going to shut down until a vaccine is available to protect public health and then mandate those 😌,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.7579}",0.7579,POSITIVE
59,people encroach on nothing of ours you weird fool people like you however happily work to destroy the of plus and both because you are with you will achieve no lasting victory and history will not recall you well if at all,"{'neg': 0.234, 'neu': 0.662, 'pos': 0.104, 'compound': -0.6921}",-0.6921,NEGATIVE
60,the best trio asexual gay,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}",0.6369,POSITIVE
61,they are extremely happy and in love they just recently got married the first ever wedding on the soap,"{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.8479}",0.8479,POSITIVE
62,fabulous as ever…🏳️‍🌈🏳️‍⚧️ the abbey food bar - west,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.5267}",0.5267,POSITIVE
63,if being sexuality active was the first thing that came to mind when it came to coming out as then that about your dirty ass mind 💀,"{'neg': 0.173, 'neu': 0.755, 'pos': 0.073, 'compound': -0.5719}",-0.5719,NEGATIVE
64,evil act shame on,"{'neg': 0.595, 'neu': 0.405, 'pos': 0.0, 'compound': -0.6597}",-0.6597,NEGATIVE
65,- they can be pro anti abortion pro anti pro anti but can not be pro anti specific politician or candidate,"{'neg': 0.174, 'neu': 0.74, 'pos': 0.086, 'compound': -0.1298}",-0.1298,NEGATIVE
66,i am old enough to remember when people just to be as,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
67,you as a gay man have no issue with supporting where gay people live in fear yet many live openly free in you are easily 😢😢,"{'neg': 0.218, 'neu': 0.565, 'pos': 0.217, 'compound': -0.0258}",-0.0258,NEGATIVE
68,thanks for your support sir your plus staff appreciate your supportive stance your over the past few days have across these please keep standing for all our,"{'neg': 0.0, 'neu': 0.67, 'pos': 0.33, 'compound': 0.8957}",0.8957,POSITIVE
69,being nothing to do with politics,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
70,i would like modern civilization but with less feminism black stuff neo-reactionary we need to all be medieval on the brink of starvation,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.631}",0.631,POSITIVE
71,faced with s plus community stigma the spread of and its prevalence among gay men is causing fear anger and burning in the united for a,"{'neg': 0.24, 'neu': 0.691, 'pos': 0.069, 'compound': -0.7845}",-0.7845,NEGATIVE
72,it is already and because no one in about the you are talking about people are not you it is we all know gay men are hot you can say it no one will judge you,"{'neg': 0.101, 'neu': 0.829, 'pos': 0.069, 'compound': -0.1027}",-0.1027,NEGATIVE
73,choosing democracy over a alternative is a thing believing in science voting s and no state religion nationalism and of other is also a thing,"{'neg': 0.064, 'neu': 0.936, 'pos': 0.0, 'compound': -0.296}",-0.296,NEGATIVE
74,a petition with that could really change for plus people add your name and join them in the fight for plus 🌈,"{'neg': 0.099, 'neu': 0.825, 'pos': 0.076, 'compound': -0.1759}",-0.1759,NEGATIVE
75,airplane is know to be a non as you got to love your resistance,"{'neg': 0.153, 'neu': 0.687, 'pos': 0.16, 'compound': 0.0516}",0.0516,POSITIVE
76,like not only does it just sound amazing but the way it homage to black of the past and present its with so much history so much love made with so much care attention,"{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.944}",0.944,POSITIVE
77,can not wait to see the collision of the community and tomorrow at bud light stage,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.3612}",-0.3612,NEGATIVE
78,pardon me you are a little trump puppet that people that pay your salary will we start drug testing in congress senate or at least make them start diversity training come out of the closet you look it,"{'neg': 0.09, 'neu': 0.86, 'pos': 0.049, 'compound': -0.2263}",-0.2263,NEGATIVE
79,friend group,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4939}",0.4939,POSITIVE
80,yo no soy,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.296}",-0.296,NEGATIVE
81,have no problem off the of anyone the poor senior people with student debt all with zero of doing anything to help them they are just campaign,"{'neg': 0.155, 'neu': 0.731, 'pos': 0.113, 'compound': -0.2124}",-0.2124,NEGATIVE
82,not a flag about is it are,"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.5574}",-0.5574,NEGATIVE
83,who now you are becoming like my ex leave me alone or i call police on you,"{'neg': 0.166, 'neu': 0.732, 'pos': 0.102, 'compound': 0.2905}",0.2905,POSITIVE
84,dressing for the today,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
85,i it is so,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
86,honestly an opinion on anything related and that is different from most people opinion is offensive well than it i will be offensive plus people are so unfunny and can not take a joke without crying,"{'neg': 0.235, 'neu': 0.578, 'pos': 0.188, 'compound': -0.5558}",-0.5558,NEGATIVE
87,great my sister is a skilled professional she and works in and always opposed ’ s regime throw her back to russia where she will be eventually put to jail because she is bravo 👏🏻,"{'neg': 0.0, 'neu': 0.907, 'pos': 0.093, 'compound': 0.6249}",0.6249,POSITIVE
88,i just do not want to entertain your weird need to question whether something common in the community actually it is weird if you know actual people have a conversation with them about it or do your own research twitter is not a search engine,"{'neg': 0.069, 'neu': 0.857, 'pos': 0.073, 'compound': 0.0516}",0.0516,POSITIVE
89,well then this that a lot of plus people are uninformed and a bunch of,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.2732}",0.2732,POSITIVE
90,welcome to twitter and good luck,"{'neg': 0.0, 'neu': 0.246, 'pos': 0.754, 'compound': 0.8478}",0.8478,POSITIVE
91,i agree my are subjective international law however which human for people is not as the un all are under international human law to promote and protect the human of all without discrimination,"{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.7717}",0.7717,POSITIVE
92,let us try some - live on-air with tay and,"{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.5696}",0.5696,POSITIVE
93,remember when had down for 3 over and for gay and language however the community for a language by the end when was agreed to restore,"{'neg': 0.061, 'neu': 0.833, 'pos': 0.105, 'compound': 0.2023}",0.2023,POSITIVE
94,he is a bit busy for conversion therapy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
95,hopefully people can be with the in strange world,"{'neg': 0.117, 'neu': 0.518, 'pos': 0.365, 'compound': 0.5904}",0.5904,POSITIVE
96,my is,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
97,just because covid a high survival rate does not mean there are no long term effects of covid i am one of those people still dealing with from covid two later i sent you a link from the about how monkey pox are contracted and you blame plus,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.5574}",-0.5574,NEGATIVE
98,every self-congratulating tweet on how the plus community is safe in the face of state failure are not we great is a bloody slap in the face when so many pride do not have a mask in plus equal and you are all about anyway,"{'neg': 0.103, 'neu': 0.711, 'pos': 0.186, 'compound': 0.6222}",0.6222,POSITIVE
99,another fantastic day at the pool today with something other than the anthem to listen to my head into too and got the opportunity to meet during her tour of the exhibition,"{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.7712}",0.7712,POSITIVE
100,✨🌈an award for work🌈🌟 we did it dyke march thank you and thank you for the from the queer community 🌹✨,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.908}",0.908,POSITIVE
101,do you celebrate,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,POSITIVE
102,do they train you all to repeat that line moderately inconvenience a liberal or and all hell loose… tell a conservative you are a conservative gay and you go to happy hour together,"{'neg': 0.153, 'neu': 0.691, 'pos': 0.156, 'compound': 0.0343}",0.0343,POSITIVE
103,and these people need to get off the if they hate that they are just over exaggerating over nothing that is a big need to stop plus contact because it is getting annoying nowadays i wish it could end so people can be with it,"{'neg': 0.226, 'neu': 0.681, 'pos': 0.094, 'compound': -0.7886}",-0.7886,NEGATIVE
104,tonight a week ago• • • new york city n y,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
105,a little spoiler for the community,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
106,all people do is hurt me😕,"{'neg': 0.449, 'neu': 0.551, 'pos': 0.0, 'compound': -0.6908}",-0.6908,NEGATIVE
107,i wish people can not stop on continent it is not that big of a deal it is pretty much normal nowadays and we are getting getting that in and animated a nowadays and those who hate gay days are misogynistic and,"{'neg': 0.17, 'neu': 0.721, 'pos': 0.109, 'compound': -0.5106}",-0.5106,NEGATIVE
108,⭐⭐⭐⭐⭐ very exciting stuff - review ⭐⭐⭐⭐⭐where there is a witch there is a way town book 2by e broom free via,"{'neg': 0.066, 'neu': 0.689, 'pos': 0.245, 'compound': 0.7735}",0.7735,POSITIVE
109,racist,"{'neg': 0.645, 'neu': 0.0, 'pos': 0.355, 'compound': -0.4215}",-0.4215,NEGATIVE
110,a sex addict s guide on how to spread if unsure cover up then go out and have fun and you are going to complain if people the community if you are unsure what it is go see a doctor that to any or not,"{'neg': 0.114, 'neu': 0.827, 'pos': 0.058, 'compound': -0.296}",-0.296,NEGATIVE
111,latest article from - music for - by -,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
112,i just stick up for plus,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.1027}",-0.1027,NEGATIVE
113,would you support my right to free speech if i had the same sign but for,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.4588}",0.4588,POSITIVE
114,got into that and as a result ravishingly anti-lgbt as a whole… whenever the gender ideologue or queer theorist flew at me i just did not know what to say because i literally have never ever myself with that 💀,"{'neg': 0.062, 'neu': 0.938, 'pos': 0.0, 'compound': -0.4588}",-0.4588,NEGATIVE
115,racist,"{'neg': 0.645, 'neu': 0.0, 'pos': 0.355, 'compound': -0.4215}",-0.4215,NEGATIVE
116,the relative increase conservative about and people in the past few me that these are at a point where they truly believe that their ideology is losing its true just very slowly but to them its always them like a train,"{'neg': 0.034, 'neu': 0.803, 'pos': 0.163, 'compound': 0.714}",0.714,POSITIVE
117,this is a assault on culture,"{'neg': 0.352, 'neu': 0.648, 'pos': 0.0, 'compound': -0.5859}",-0.5859,NEGATIVE
118,t ’ es,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
119,stop she would never post she just thought the dinosaur was cool,"{'neg': 0.17, 'neu': 0.696, 'pos': 0.133, 'compound': -0.1613}",-0.1613,NEGATIVE
120,you will never exist,"{'neg': 0.0, 'neu': 0.506, 'pos': 0.494, 'compound': 0.5994}",0.5994,POSITIVE
121,if that sight with instead would you still call her brave,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.5267}",0.5267,POSITIVE
122,senate must pass the marriage equality bill - more and more that of the are hell bent on the community in the most degrading ways,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.8655}",-0.8655,NEGATIVE
123,watched with milky,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
124,if they i would have already them,"{'neg': 0.292, 'neu': 0.708, 'pos': 0.0, 'compound': -0.5106}",-0.5106,NEGATIVE
125,also not sure if this is what you are looking for but i shameless it representation in it also i am realizing you said and i have no two shows… 🫠😅,"{'neg': 0.127, 'neu': 0.705, 'pos': 0.168, 'compound': 0.6287}",0.6287,POSITIVE
126,i love how many there are in also mostly inclusive community,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6369}",0.6369,POSITIVE
127,city,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
128,i am gay and i hate the community because of people like you is hatred against hatred against people like you is not is common sense,"{'neg': 0.294, 'neu': 0.584, 'pos': 0.122, 'compound': -0.8442}",-0.8442,NEGATIVE
129,you are a disgrace to the community,"{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.4939}",-0.4939,NEGATIVE
130,a fantastic enjoyable read with realistic grab a copy of always for you true-blue book 4 now,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.7579}",0.7579,POSITIVE
131,what will break them first,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
132,for sake i do not fear the statistics are clear i chose not to live in denial just to be politically correct i got the vaccine i still got covid it does not work like they said it would it a 99 5 % survival rate - even without the vaccine,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.7736}",0.7736,POSITIVE
133,a i am not straight do not make b there is really no one can not address a whole community,"{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.4869}",-0.4869,NEGATIVE
134,your survey is in that i gave my birth sex then my current gender then my current sexual orientation and it ended the survey probably because it thought i did not qualify as male female took it again as male other,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
135,the between and seem to be,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
136,racist,"{'neg': 0.645, 'neu': 0.0, 'pos': 0.355, 'compound': -0.4215}",-0.4215,NEGATIVE
137,you know that is people to the point of hate now the discrimination you sit on of his filthy laundry as in pay for play that is right,"{'neg': 0.129, 'neu': 0.81, 'pos': 0.061, 'compound': -0.4019}",-0.4019,NEGATIVE
138,the community do not do nothing but have sex,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
139,most of my r silly but that is 🙏 my r all 3,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.431}",0.431,POSITIVE
140,fam if they are old enough to understand they are hetero then they are old enough to understand if they are not really telling that people can only consider plus people purely in the context of sexual activity and never an identity the same way they do straight people,"{'neg': 0.0, 'neu': 0.959, 'pos': 0.041, 'compound': 0.2263}",0.2263,POSITIVE
141,let us not bring the stigma back please this is not a gay disease and even if statistics point out more within the community anyone can still get it any one this is not the time for another kind of stigma get rid of that everyone is susceptible,"{'neg': 0.0, 'neu': 0.956, 'pos': 0.044, 'compound': 0.3182}",0.3182,POSITIVE
142,i am kyie18 white aboriginal na looking for new i like anime some let us b 🐒⭐️retweet or,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.7762}",0.7762,POSITIVE
143,you might want to have a word with your community just saying,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.1511}",0.1511,POSITIVE
144,are not a disease straight people just are not ’ 🧐,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}",0.2263,POSITIVE
145,can she please stop staring my soul,"{'neg': 0.232, 'neu': 0.526, 'pos': 0.242, 'compound': 0.0258}",0.0258,POSITIVE
146,racist,"{'neg': 0.645, 'neu': 0.0, 'pos': 0.355, 'compound': -0.4215}",-0.4215,NEGATIVE
147,easy for you to say in your lap of luxury you prob do not get it but this democratic administration completely the working class the silent majority does not care about these or other you are spewing we want the same peak quality of life we had under trump,"{'neg': 0.142, 'neu': 0.8, 'pos': 0.058, 'compound': -0.7865}",-0.7865,NEGATIVE
148,latest article from - the best video – - the best video - -,"{'neg': 0.0, 'neu': 0.669, 'pos': 0.331, 'compound': 0.8555}",0.8555,POSITIVE
149,there is a huge shift of the gay community against this these people are being to do this by whom we all need to stand up to this and destroy its pathway wrong is being not just in this domain everywhere people better start smelling it,"{'neg': 0.175, 'neu': 0.741, 'pos': 0.084, 'compound': -0.7684}",-0.7684,NEGATIVE
150,i think the recent woke mob been on to us unfairly 1 4 of the community for trump in 2020…we stand in opposition of but some have a difficult time separating the two hopefully they find ’ s love,"{'neg': 0.106, 'neu': 0.728, 'pos': 0.166, 'compound': 0.7506}",0.7506,POSITIVE
151,true representation,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}",0.4215,POSITIVE
152,later on the news upset enthusiast new of the community coming up at 9,"{'neg': 0.109, 'neu': 0.63, 'pos': 0.261, 'compound': 0.5574}",0.5574,POSITIVE
153,harry miller and an ex-army veteran have just been for a post on because he an flag fashioned into a swastika after a homosexual activist to the police that he was offended and the poster to attend a are-education class,"{'neg': 0.154, 'neu': 0.799, 'pos': 0.047, 'compound': -0.6731}",-0.6731,NEGATIVE
154,well how about you who i can only assume is a straight person ask the community how they actually feel then,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4588}",0.4588,POSITIVE
155,this ha me i am now an foe,"{'neg': 0.19, 'neu': 0.654, 'pos': 0.157, 'compound': -0.128}",-0.128,NEGATIVE
156,summer smiles…🏳️‍🌈🏳️‍⚧️ the abbey food bar - west,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
